,Internet,Email,Blog,WebBanner,Promotional,SmartPhone,Sales
512,52.71,4.62,1.32,149.345,13.09,0.1056,4.23
513,62.88,6.1800000000000015,5.885,178.16,17.51,0.4708,4.77
514,23.46,14.04,18.975,66.47,39.78,1.518,4.38
515,22.53,10.5,28.985000000000007,63.835,29.75,2.3188,3.78
516,41.76,4.29,14.080000000000002,118.32,12.155,1.1264,3.66
517,22.92,0.24,8.14,64.94,0.68,0.6512,2.82
518,37.71,11.07,43.56,106.845,31.365,3.4848,4.77
519,5.8199999999999985,4.8,12.265,16.49,13.6,0.9812,1.98
520,42.39,8.04,25.410000000000004,120.105,22.78,2.0328,4.65
521,5.64,6.51,27.72,15.98,18.445,2.2176,2.1
522,67.2,0.72,8.58,190.4,2.04,0.6863999999999999,3.48
523,36.93,10.38,6.820000000000001,104.635,29.41,0.5456,4.56
524,68.85,9.69,40.81,195.075,27.455,3.2648,5.909999999999998
525,26.16,3.54,14.245,74.12,10.03,1.1396,3.18
526,2.34,11.67,27.83,6.63,33.065,2.2264,1.98
527,24.06,0.0,5.06,68.17,0.0,0.4048,2.64
528,66.09,14.7,1.7600000000000002,187.255,41.65,0.1408,7.409999999999998
529,17.88,3.6,23.705,50.66,10.2,1.8964,2.91
530,0.21,11.88,4.785,0.595,33.660000000000004,0.3828,0.48
531,79.55999999999997,0.87,23.65,225.42,2.465,1.892,3.81
532,2.52,8.16,1.1550000000000002,7.14,23.12,0.0924,1.71
533,65.94,10.05,24.805000000000003,186.83,28.475,1.9844,5.88
534,11.07,11.58,36.08,31.365,32.81,2.8864,3.24
535,14.489999999999998,14.1,4.675000000000002,41.055,39.95,0.374,3.48
536,7.68,11.7,5.115000000000001,21.76,33.15,0.4092,2.85
537,82.11,8.67,32.835,232.645,24.565,2.6268,6.24
538,12.9,7.77,11.275,36.55,22.015,0.902,2.88
539,55.47,13.17,0.935,157.165,37.315,0.07479999999999999,6.21
540,22.02,5.1,7.0950000000000015,62.39,14.45,0.5676,3.27
541,58.10999999999999,10.62,41.58,164.64499999999995,30.09,3.3264,5.76
542,66.14999999999999,9.96,20.845,187.425,28.22,1.6675999999999995,6.03
543,31.379999999999995,1.71,18.92,88.91,4.845,1.5135999999999998,3.12
544,28.86,4.44,21.395,81.77,12.58,1.7115999999999998,3.42
545,42.09,0.57,4.95,119.255,1.615,0.396,3.0900000000000003
546,72.03,2.19,4.785,204.085,6.205,0.3828,3.96
547,72.96,14.7,24.365,206.72,41.65,1.9492,7.619999999999999
548,11.4,12.089999999999998,6.545000000000001,32.3,34.254999999999995,0.5236,3.27
549,13.41,7.74,11.330000000000002,37.99500000000001,21.93,0.9064,3.03
550,84.21,4.17,20.35,238.595,11.815,1.6280000000000001,4.83
551,36.3,2.52,26.785000000000004,102.85,7.14,2.1428,3.48
552,59.28,6.99,7.81,167.95999999999995,19.805,0.6247999999999999,4.98
553,51.39,11.91,20.735000000000007,145.60500000000005,33.745000000000005,1.6588,5.7
554,56.34,6.33,5.2250000000000005,159.63,17.935000000000006,0.418,4.68
555,1.2299999999999998,3.48,3.135,3.4849999999999994,9.86,0.2508,0.96
556,28.17,13.05,27.775,79.815,36.975,2.222,4.59
557,44.94000000000001,0.39,13.365000000000002,127.33,1.105,1.0692,3.03
558,3.51,11.07,24.860000000000007,9.945,31.365,1.9888,2.19
559,39.51,5.52,19.03,111.945,15.64,1.5224,3.87
560,51.75,5.4300000000000015,16.885,146.625,15.385000000000002,1.3508,4.32
561,25.71,10.739999999999998,27.115,72.845,30.43,2.1692,3.99
562,56.52,5.4300000000000015,14.080000000000002,160.14,15.385000000000002,1.1264,4.47
563,49.05,11.04,4.07,138.975,31.28,0.3256,5.4
564,35.16,4.409999999999998,2.9700000000000006,99.62,12.495,0.2376,3.57
565,70.35,1.02,46.64,199.325,2.89,3.7312,3.57
566,5.369999999999999,11.28,11.880000000000004,15.214999999999998,31.96,0.9504,2.4
567,62.04,1.56,10.67,175.78,4.42,0.8535999999999999,3.66
568,64.62,7.08,31.680000000000003,183.09,20.06,2.5344,5.13
569,85.29,3.18,3.5200000000000005,241.655,9.01,0.2816,4.5
570,15.0,3.48,10.12,42.5,9.86,0.8095999999999999,2.52
571,49.35,6.27,26.07,139.825,17.764999999999993,2.0856,4.35
572,5.88,6.03,9.35,16.66,17.085,0.748,2.28
573,50.52,2.13,7.040000000000001,143.14,6.034999999999998,0.5632,3.51
574,66.72,1.02,7.205,189.04,2.89,0.5763999999999999,3.45
575,83.07,14.669999999999998,22.99,235.365,41.565,1.8392,8.1
576,74.52,9.06,11.165,211.14,25.67,0.8932,6.06
577,51.06,2.34,19.360000000000007,144.67,6.63,1.5488,3.51
578,83.00999999999998,0.69,13.035,235.195,1.955,1.0428,3.54
579,49.68,3.0,9.68,140.76,8.5,0.7744,3.78
580,46.98,0.78,4.565,133.11,2.21,0.3652,3.15
581,65.55,1.62,15.07,185.725,4.59,1.2055999999999998,3.66
582,16.86,1.71,16.335,47.77,4.845,1.3068,2.61
583,86.28,12.9,39.49,244.46,36.55,3.1592,7.8599999999999985
584,76.14,6.39,16.5,215.73,18.105,1.3199999999999998,5.28
585,61.5,13.53,10.78,174.25,38.335,0.8624,6.78
586,41.85,0.63,14.630000000000004,118.575,1.785,1.1704,3.0900000000000003
587,57.33,8.61,10.01,162.435,24.395,0.8008,5.19
588,85.8,4.17,2.035,243.1,11.815,0.1628,4.77
589,5.6099999999999985,3.63,12.87,15.895,10.285,1.0295999999999998,2.01
590,11.85,12.33,3.19,33.575,34.935,0.2552,3.24
591,22.65,3.24,3.3000000000000003,64.175,9.18,0.264,2.97
592,5.159999999999998,1.2299999999999998,17.380000000000006,14.62,3.4849999999999994,1.3904,1.77
593,50.04,12.6,1.98,141.78,35.7,0.1584,5.88
594,44.91,10.68,3.3000000000000003,127.245,30.26,0.264,5.19
595,11.46,1.11,7.590000000000002,32.47,3.145,0.6072,2.28
596,28.26,1.47,4.455,80.07000000000002,4.165,0.35639999999999994,2.91
597,53.1,2.79,3.5200000000000005,150.45,7.905,0.2816,3.84
598,85.08,12.6,36.41,241.06,35.7,2.9128,7.649999999999999
599,69.63,2.58,4.785,197.285,7.31,0.3828,4.02
600,92.04,15.12,29.756,172.575,28.35,29.756,8.840000000000002
601,17.8,15.72,19.393,33.375,29.475,19.393,4.16
602,6.88,18.36,29.799,12.9,34.425,29.799,3.7200000000000006
603,60.6,16.52,25.155,113.625,30.975,25.155,7.4
604,72.32000000000002,4.32,25.112,135.60000000000002,8.100000000000001,25.112,5.16
605,3.48,19.56,32.25,6.525,36.675,32.25,2.8800000000000003
606,23.0,13.12,10.105,43.125,24.6,10.105,4.7200000000000015
607,48.08000000000001,7.840000000000002,4.988,90.15,14.7,4.988,5.28
608,3.44,0.8400000000000001,0.43,6.449999999999998,1.5750000000000002,0.43,1.92
609,79.92000000000002,1.04,9.116,149.85000000000005,1.95,9.116,4.24
610,26.44,2.32,10.406,49.575,4.35,10.406,3.44
611,85.88,9.6,1.72,161.02499999999995,18.0,1.72,6.96
612,9.52,14.04,28.337000000000003,17.85,26.325000000000006,28.337000000000003,3.68
613,39.0,3.04,3.096,73.125,5.699999999999998,3.096,3.88
614,81.64,13.16,19.78,153.075,24.675,19.78,7.6
615,78.16000000000003,19.08,22.747,146.55,35.77500000000001,22.747,8.959999999999997
616,27.12,14.64,13.95135,50.85,27.450000000000006,13.95135,5.0
617,112.56,15.840000000000002,23.994,211.05,29.700000000000006,23.994,9.76
618,27.680000000000003,8.200000000000001,7.869,51.90000000000001,15.375,7.869,4.5200000000000005
619,58.92000000000001,9.56,8.213000000000001,110.475,17.924999999999994,8.213000000000001,5.84
620,87.36000000000001,11.08,22.962,163.8,20.775,22.962,7.2
621,94.96,2.04,10.105,178.05,3.825,10.105,5.0
622,5.28,6.36,21.328000000000003,9.9,11.925,21.328000000000003,2.24
623,91.32,6.76,11.265999999999998,171.22500000000005,12.675,11.265999999999998,6.2
624,24.92,5.04,7.869,46.725,9.45,7.869,3.88
625,105.16,1.4,8.385,197.175,2.625,8.385,4.800000000000002
626,57.16,11.72,5.417999999999999,107.175,21.975,5.417999999999999,6.0
627,96.04,6.68,9.847000000000001,180.075,12.525,9.847000000000001,6.36
628,99.52,10.840000000000002,9.847000000000001,186.6,20.325000000000006,9.847000000000001,7.56
629,28.24,6.4,17.543999999999997,52.95,12.0,17.543999999999997,4.2
630,117.16,11.32,18.576,219.675,21.225,18.576,8.56
631,45.16,6.96,16.598,84.67500000000003,13.05,16.598,4.760000000000002
632,38.88,0.6000000000000001,12.9,72.9,1.125,12.9,3.84
633,106.24,8.0,0.129,199.2,15.0,0.129,6.96
634,38.28,0.5599999999999999,3.182,71.775,1.0499999999999998,3.182,3.8
635,116.28,1.64,3.655,218.025,3.075,3.655,5.120000000000001
636,106.76,17.52,2.15,200.175,32.849999999999994,2.15,10.16
637,29.880000000000006,19.76,19.651,56.02500000000001,37.05,19.651,5.88
638,17.240000000000002,10.68,15.093,32.325,20.025,15.093,4.04
639,91.2,15.080000000000002,13.76,171.0,28.275,13.76,8.6
640,81.0,8.92,13.588,151.875,16.725,13.588,6.6400000000000015
641,70.8,13.36,16.641000000000002,132.75,25.05,16.641000000000002,6.840000000000002
642,117.44,11.08,0.774,220.2,20.775,0.774,8.28
643,82.76,3.3600000000000003,11.352,155.175,6.300000000000002,11.352,5.16
644,10.04,10.28,18.619,18.825000000000006,19.275,18.619,3.4000000000000004
645,70.04,9.0,13.545,131.325,16.875,13.545,5.960000000000001
646,35.88,3.96,15.350999999999999,67.275,7.425000000000002,15.350999999999999,4.24
647,95.96,16.6,7.955,179.925,31.125,7.955,9.28
648,90.88,6.32,21.456999999999997,170.39999999999995,11.85,21.456999999999997,5.920000000000001
649,26.760000000000005,4.68,15.823999999999998,50.175,8.774999999999999,15.823999999999998,3.88
650,79.92000000000002,1.2400000000000002,14.878,149.85000000000005,2.325,14.878,4.5600000000000005
651,40.16,3.84,1.548,75.30000000000003,7.199999999999998,1.548,4.28
652,86.56,16.680000000000003,17.028,162.3,31.275,17.028,9.04
653,73.04,18.48,25.241,136.95,34.65000000000001,25.241,8.48
654,105.08,11.52,6.837000000000001,197.025,21.6,6.837000000000001,8.08
655,79.56,19.76,25.8,149.175,37.05,25.8,9.48
656,2.92,11.240000000000002,17.802,5.475,21.075000000000006,17.802,2.2
657,54.48,7.68,7.138000000000001,102.15,14.4,7.138000000000001,5.28
658,84.32000000000002,19.840000000000003,16.211000000000002,158.10000000000005,37.2,16.211000000000002,9.52
659,84.28,11.8,3.9989999999999997,158.02499999999995,22.125,3.9989999999999997,7.3599999999999985
660,21.4,0.8,9.202,40.125,1.5,9.202,3.24
661,104.52,17.080000000000002,23.521,195.975,32.02500000000001,23.521,9.68
662,95.72,6.2,11.739,179.47500000000005,11.625,11.739,6.28
663,41.08000000000001,11.840000000000002,3.612,77.025,22.200000000000006,3.612,5.6000000000000005
664,52.44,17.12,12.427,98.325,32.099999999999994,12.427,7.2
665,27.6,3.7200000000000006,0.387,51.75,6.9750000000000005,0.387,3.7200000000000006
666,12.6,9.840000000000002,0.946,23.625,18.450000000000006,0.946,3.8
667,55.72000000000001,5.800000000000002,4.385999999999999,104.475,10.875,4.385999999999999,5.36
668,94.96,11.0,4.73,178.05,20.625,4.73,7.56
669,86.72000000000001,17.56,11.696,162.60000000000005,32.925,11.696,8.92
670,79.64,12.240000000000002,16.641000000000002,149.325,22.950000000000006,16.641000000000002,7.32
671,43.92,5.7200000000000015,13.630999999999998,82.35,10.725,13.630999999999998,4.960000000000001
672,10.72,13.2,8.299,20.1,24.75,8.299,3.5200000000000005
673,51.76000000000001,2.28,13.459000000000001,97.05,4.275,13.459000000000001,4.4
674,85.36000000000001,9.840000000000002,5.632999999999999,160.05,18.450000000000006,5.632999999999999,6.800000000000002
675,6.76,17.48,38.442,12.675,32.77500000000001,38.442,3.48
676,11.0,0.6400000000000001,8.901,20.625,1.2000000000000002,8.901,2.76
677,48.2,11.4,6.106,90.375,21.375,6.106,5.68
678,2.16,11.96,4.042,4.050000000000002,22.425,4.042,2.12
679,46.40000000000001,3.08,9.933,87.0,5.775,9.933,4.4
680,30.56,10.68,9.589,57.3,20.025,9.589,4.7200000000000015
681,95.92000000000002,1.64,15.867,179.85000000000005,3.075,15.867,4.920000000000001
682,30.12,8.120000000000001,13.975,56.475,15.225,13.975,4.5200000000000005
683,27.360000000000007,17.8,15.308,51.3,33.375,15.308,5.44
684,85.4,17.2,14.534,160.125,32.25,14.534,8.68
685,77.28,7.3599999999999985,28.250999999999998,144.89999999999995,13.8,28.250999999999998,6.08
686,30.52,11.0,6.88,57.225,20.625,6.88,4.800000000000002
687,44.28,16.240000000000002,27.176,83.025,30.450000000000006,27.176,6.4
688,35.32,10.2,31.561999999999998,66.225,19.125,31.561999999999998,5.16
689,43.92,19.12,22.101999999999997,82.35,35.84999999999999,22.101999999999997,6.68
690,53.72000000000001,1.96,3.9989999999999997,100.725,3.675,3.9989999999999997,4.48
691,11.44,0.6000000000000001,14.19,21.450000000000006,1.125,14.19,2.92
692,87.08,13.4,25.37,163.27499999999995,25.125,25.37,7.76
693,100.36,14.6,31.089000000000002,188.175,27.375,31.089000000000002,8.88
694,42.96000000000001,5.6000000000000005,4.687,80.55000000000003,10.5,4.687,4.6000000000000005
695,65.32000000000001,12.64,22.747,122.475,23.700000000000006,22.747,6.76
696,79.04,1.4,2.537,148.2,2.625,2.537,4.68
697,73.96000000000002,8.4,9.46,138.675,15.75,9.46,6.2
698,115.88,16.919999999999998,22.016,217.275,31.725,22.016,10.16
699,54.08,16.680000000000003,19.737000000000002,101.4,31.275,19.737000000000002,6.88
700,88.96000000000002,1.72,21.414,166.8,3.225,21.414,4.68
701,118.56,14.52,33.819500000000005,222.3,27.225,33.819500000000005,9.52
702,112.08,4.04,9.202,210.15,7.574999999999998,9.202,5.920000000000001
703,75.16000000000003,6.88,7.696999999999999,140.925,12.9,7.696999999999999,5.88
704,95.28,13.72,2.279,178.64999999999995,25.725,2.279,8.28
705,55.16,18.56,25.37,103.425,34.8,25.37,7.68
706,10.0,4.4,12.771,18.75,8.25,12.771,2.8800000000000003
707,36.16,0.12,9.976,67.80000000000001,0.225,9.976,3.48
708,5.24,0.16000000000000006,11.008,9.825,0.30000000000000004,11.008,2.12
709,102.16,10.76,2.365,191.55,20.175,2.365,7.920000000000001
710,90.32,3.28,24.295,169.35000000000005,6.15,24.295,5.36
711,96.68,15.2,9.976,181.275,28.5,9.976,8.72
712,70.28,6.16,1.032,131.77499999999998,11.55,1.032,5.6400000000000015
713,83.84,8.24,4.601,157.2,15.45,4.601,6.36
714,31.28,18.72,14.835,58.65000000000001,35.099999999999994,14.835,5.84
715,30.04,14.0,22.660999999999998,56.325,26.25,22.660999999999998,5.04
716,55.68,5.7200000000000015,11.008,104.4,10.725,11.008,4.88
717,30.56,0.3200000000000001,6.364,57.3,0.6000000000000001,6.364,3.76
718,50.28,14.76,34.056,94.275,27.675,34.056,6.36
719,7.76,6.4,9.589,14.55,12.0,9.589,2.64
720,56.52000000000001,10.72,19.866,105.975,20.1,19.866,6.2
721,7.52,8.68,21.671999999999997,14.1,16.275,21.671999999999997,2.8000000000000003
722,89.60000000000002,0.96,6.707999999999999,168.0,1.7999999999999998,6.707999999999999,4.64
723,49.24,13.840000000000002,5.332000000000001,92.325,25.950000000000006,5.332000000000001,6.08
724,91.8,12.92,31.906,172.125,24.225,31.906,7.88
725,34.88,4.7200000000000015,11.137,65.4,8.850000000000003,11.137,4.24
726,3.12,15.56,21.758000000000003,5.85,29.175,21.758000000000003,2.64
727,32.080000000000005,0.0,3.956,60.15000000000001,0.0,3.956,3.5200000000000005
728,88.12,19.6,1.376,165.22500000000005,36.75,1.376,9.88
729,23.840000000000003,4.800000000000002,18.533,44.7,9.0,18.533,3.88
730,0.28,15.840000000000002,3.741,0.5249999999999999,29.700000000000006,3.741,0.6400000000000001
731,106.08,1.16,18.49,198.9,2.175,18.49,5.08
732,3.3600000000000003,10.88,0.903,6.300000000000002,20.4,0.903,2.28
733,87.92000000000002,13.4,19.393,164.85000000000005,25.125,19.393,7.840000000000002
734,14.76,15.44,28.208000000000002,27.675,28.950000000000006,28.208000000000002,4.32
735,19.32,18.8,3.655,36.225,35.25,3.655,4.64
736,10.240000000000002,15.6,3.9989999999999997,19.200000000000006,29.25,3.9989999999999997,3.8
737,109.48,11.56,25.671,205.275,21.675,25.671,8.32
738,17.2,10.36,8.815,32.25,19.425,8.815,3.84
739,73.96000000000002,17.56,0.731,138.675,32.925,0.731,8.28
740,29.360000000000007,6.800000000000002,5.547000000000001,55.05,12.75,5.547000000000001,4.36
741,77.48,14.16,32.508,145.27499999999995,26.55,32.508,7.68
742,88.2,13.28,16.297,165.375,24.9,16.297,8.040000000000001
743,41.84,2.28,14.792,78.44999999999997,4.275,14.792,4.16
744,38.48,5.920000000000001,16.727,72.15,11.1,16.727,4.5600000000000005
745,56.12000000000001,0.76,3.87,105.225,1.4249999999999998,3.87,4.12
746,96.04,2.92,3.741,180.075,5.475,3.741,5.28
747,97.28,19.6,19.049,182.4,36.75,19.049,10.16
748,15.2,16.12,5.117,28.5,30.225,5.117,4.36
749,17.880000000000006,10.32,8.857999999999999,33.52500000000001,19.35,8.857999999999999,4.04
750,112.28,5.5600000000000005,15.91,210.525,10.425,15.91,6.440000000000001
751,48.40000000000001,3.3600000000000003,20.941000000000006,90.75,6.300000000000002,20.941000000000006,4.64
752,79.04,9.32,6.106,148.2,17.475,6.106,6.6400000000000015
753,68.52000000000001,15.880000000000004,16.211000000000002,128.47500000000002,29.775,16.211000000000002,7.6
754,75.12,8.440000000000001,4.085,140.85000000000005,15.825,4.085,6.24
755,1.64,4.64,2.451,3.075,8.7,2.451,1.2800000000000002
756,37.56,17.400000000000002,21.715,70.42500000000003,32.625,21.715,6.120000000000001
757,59.92000000000001,0.52,10.449000000000002,112.35,0.975,10.449000000000002,4.04
758,4.68,14.76,19.436,8.774999999999999,27.675,19.436,2.92
759,52.68,7.3599999999999985,14.878,98.775,13.8,14.878,5.16
760,69.0,7.240000000000001,13.201,129.375,13.575,13.201,5.760000000000002
761,34.28,14.32,21.199,64.275,26.85,21.199,5.32
762,75.36,7.240000000000001,11.008,141.3,13.575,11.008,5.960000000000001
763,65.4,14.72,3.182,122.625,27.6,3.182,7.2
764,46.88,5.88,2.322,87.9,11.025,2.322,4.760000000000002
765,93.8,1.36,36.464,175.875,2.55,36.464,4.760000000000002
766,7.16,15.04,9.288,13.425,28.200000000000006,9.288,3.2
767,82.72000000000001,2.08,8.341999999999999,155.10000000000005,3.9,8.341999999999999,4.88
768,86.16000000000003,9.44,24.768,161.55,17.700000000000006,24.768,6.840000000000002
769,113.72,4.24,2.752,213.225,7.949999999999998,2.752,6.0
770,20.0,4.64,7.911999999999999,37.5,8.7,7.911999999999999,3.3600000000000003
771,65.8,8.36,20.382,123.375,15.675,20.382,5.800000000000002
772,7.840000000000002,8.040000000000001,7.31,14.7,15.075,7.31,3.04
773,67.36,2.84,5.504,126.3,5.324999999999998,5.504,4.68
774,88.96000000000002,1.36,5.632999999999999,166.8,2.55,5.632999999999999,4.6000000000000005
775,110.76,19.56,17.974,207.675,36.675,17.974,10.8
776,99.36,12.08,8.729000000000001,186.3,22.65,8.729000000000001,8.08
777,68.08,3.12,15.136,127.65,5.85,15.136,4.68
778,110.68,0.92,10.191,207.525,1.725,10.191,4.7200000000000015
779,66.24,4.0,7.568,124.2,7.5,7.568,5.04
780,62.64,1.04,3.5690000000000004,117.45,1.95,3.5690000000000004,4.2
781,87.4,2.16,11.782,163.875,4.050000000000002,11.782,4.88
782,22.480000000000004,2.28,12.771,42.15000000000001,4.275,12.771,3.48
783,115.04000000000002,17.2,30.874000000000002,215.7,32.25,30.874000000000002,10.48
784,101.52,8.520000000000001,12.9,190.35,15.975,12.9,7.040000000000001
785,82.0,18.040000000000006,8.427999999999999,153.75,33.825,8.427999999999999,9.04
786,55.8,0.8400000000000001,11.437999999999999,104.625,1.5750000000000002,11.437999999999999,4.12
787,76.44,11.48,7.8260000000000005,143.325,21.525,7.8260000000000005,6.920000000000001
788,114.4,5.5600000000000005,1.591,214.5,10.425,1.591,6.36
789,7.48,4.84,10.062000000000001,14.025,9.075,10.062000000000001,2.68
790,15.8,16.44,2.494,29.625,30.825000000000006,2.494,4.32
791,30.200000000000006,4.32,2.58,56.625,8.100000000000001,2.58,3.96
792,6.88,1.64,13.588,12.9,3.075,13.588,2.3600000000000003
793,66.72000000000001,16.8,1.548,125.1,31.5,1.548,7.840000000000002
794,59.88,14.240000000000002,2.58,112.275,26.700000000000006,2.58,6.920000000000001
795,15.28,1.4800000000000002,5.934,28.65,2.7750000000000004,5.934,3.04
796,37.68,1.96,3.483,70.65,3.675,3.483,3.88
797,70.8,3.7200000000000006,2.752,132.75,6.9750000000000005,2.752,5.120000000000001
798,113.44,16.8,28.465999999999998,212.7,31.5,28.465999999999998,10.2
799,92.84,3.44,3.741,174.075,6.449999999999998,3.741,5.36
800,115.05,18.9,38.06,149.565,24.57,38.06,11.05
801,22.25,19.65,24.805000000000003,28.925,25.545,24.805000000000003,5.2
802,8.6,22.95,38.115,11.18,29.835,38.115,4.65
803,75.75,20.65,32.175000000000004,98.475,26.845,32.175000000000004,9.25
804,90.4,5.4,32.120000000000005,117.52,7.0200000000000005,32.120000000000005,6.45
805,4.35,24.45,41.25,5.6549999999999985,31.785,41.25,3.6
806,28.75,16.4,12.925,37.375,21.32,12.925,5.9
807,60.1,9.8,6.38,78.13000000000002,12.740000000000002,6.38,6.6
808,4.3,1.05,0.55,5.59,1.3650000000000002,0.55,2.4
809,99.9,1.3,11.66,129.87,1.6900000000000002,11.66,5.3
810,33.05,2.9,13.31,42.965,3.77,13.31,4.3
811,107.35,12.0,2.2,139.555,15.6,2.2,8.7
812,11.9,17.55,36.24500000000001,15.47,22.815,36.24500000000001,4.6
813,48.75,3.8,3.96,63.375,4.94,3.96,4.85
814,102.05,16.45,25.3,132.665,21.385,25.3,9.5
815,97.7,23.85,29.095,127.01,31.005000000000006,29.095,11.2
816,33.9,18.3,17.84475,44.07,23.790000000000006,17.84475,6.25
817,140.7,19.8,30.69,182.91,25.74,30.69,12.2
818,34.6,10.25,10.065,44.98,13.325,10.065,5.65
819,73.65,11.95,10.505,95.745,15.535,10.505,7.3
820,109.2,13.85,29.37,141.96,18.005,29.37,9.0
821,118.7,2.55,12.925,154.31,3.315,12.925,6.25
822,6.6,7.95,27.280000000000005,8.58,10.335,27.280000000000005,2.8
823,114.15,8.45,14.41,148.395,10.985,14.41,7.75
824,31.15,6.3,10.065,40.495,8.19,10.065,4.85
825,131.45,1.75,10.725,170.885,2.275,10.725,6.0
826,71.45,14.65,6.9300000000000015,92.885,19.045,6.9300000000000015,7.5
827,120.05,8.35,12.595,156.065,10.855,12.595,7.95
828,124.4,13.55,12.595,161.72,17.615000000000006,12.595,9.45
829,35.3,8.0,22.44,45.89,10.4,22.44,5.25
830,146.45,14.15,23.760000000000005,190.385,18.395,23.760000000000005,10.7
831,56.45,8.7,21.230000000000004,73.385,11.31,21.230000000000004,5.95
832,48.6,0.75,16.5,63.18000000000001,0.975,16.5,4.8
833,132.8,10.0,0.165,172.64,13.0,0.165,8.7
834,47.85,0.7,4.07,62.20500000000001,0.91,4.07,4.75
835,145.35,2.05,4.675000000000002,188.955,2.665,4.675000000000002,6.4
836,133.45,21.9,2.75,173.485,28.47,2.75,12.7
837,37.35,24.7,25.135000000000005,48.55500000000001,32.11,25.135000000000005,7.35
838,21.55,13.35,19.305000000000003,28.015,17.355,19.305000000000003,5.05
839,114.0,18.85,17.6,148.20000000000005,24.505000000000006,17.6,10.75
840,101.25,11.15,17.380000000000006,131.625,14.495,17.380000000000006,8.3
841,88.5,16.7,21.285000000000004,115.05,21.71,21.285000000000004,8.55
842,146.8,13.85,0.99,190.84000000000003,18.005,0.99,10.35
843,103.45,4.2,14.52,134.485,5.460000000000001,14.52,6.45
844,12.55,12.85,23.815,16.315,16.705000000000002,23.815,4.25
845,87.55,11.25,17.325000000000006,113.815,14.625,17.325000000000006,7.45
846,44.85,4.95,19.635,58.30500000000001,6.4350000000000005,19.635,5.3
847,119.95,20.75,10.175,155.935,26.975,10.175,11.6
848,113.6,7.9,27.445,147.68,10.27,27.445,7.4
849,33.45,5.85,20.24,43.48500000000001,7.604999999999999,20.24,4.85
850,99.9,1.55,19.03,129.87,2.015,19.03,5.7
851,50.2,4.8,1.98,65.26,6.24,1.98,5.35
852,108.2,20.85,21.78,140.66,27.105000000000004,21.78,11.3
853,91.3,23.1,32.285000000000004,118.69,30.03,32.285000000000004,10.6
854,131.35,14.4,8.745000000000001,170.755,18.72,8.745000000000001,10.1
855,99.45,24.7,33.0,129.285,32.11,33.0,11.85
856,3.65,14.05,22.77,4.745,18.265,22.77,2.75
857,68.1,9.6,9.13,88.53,12.48,9.13,6.6
858,105.4,24.8,20.735000000000007,137.02,32.24,20.735000000000007,11.9
859,105.35,14.75,5.115000000000001,136.95499999999998,19.175,5.115000000000001,9.2
860,26.75,1.0,11.77,34.775,1.3,11.77,4.05
861,130.65,21.35,30.085000000000004,169.84500000000003,27.755000000000006,30.085000000000004,12.1
862,119.65,7.75,15.015000000000002,155.54500000000004,10.075,15.015000000000002,7.85
863,51.35,14.8,4.620000000000001,66.75500000000001,19.24,4.620000000000001,7.0
864,65.55,21.4,15.895,85.215,27.82,15.895,9.0
865,34.5,4.65,0.4950000000000001,44.85,6.045000000000001,0.4950000000000001,4.65
866,15.75,12.3,1.2100000000000002,20.475,15.990000000000002,1.2100000000000002,4.75
867,69.65,7.25,5.61,90.54500000000002,9.425,5.61,6.7
868,118.7,13.75,6.050000000000002,154.31,17.875,6.050000000000002,9.45
869,108.4,21.95,14.96,140.92000000000004,28.535,14.96,11.15
870,99.55,15.3,21.285000000000004,129.415,19.89,21.285000000000004,9.15
871,54.9,7.15,17.435000000000002,71.37,9.295,17.435000000000002,6.2
872,13.4,16.5,10.615000000000002,17.42,21.45,10.615000000000002,4.4
873,64.7,2.85,17.215000000000003,84.11000000000001,3.705,17.215000000000003,5.5
874,106.7,12.3,7.205,138.71,15.990000000000002,7.205,8.5
875,8.45,21.85,49.17000000000001,10.985,28.405,49.17000000000001,4.35
876,13.75,0.8,11.385,17.875,1.04,11.385,3.45
877,60.25,14.25,7.81,78.325,18.525,7.81,7.1
878,2.7,14.95,5.170000000000001,3.51,19.435,5.170000000000001,2.65
879,58.0,3.85,12.705000000000002,75.4,5.005,12.705000000000002,5.5
880,38.2,13.35,12.265,49.66,17.355,12.265,5.9
881,119.9,2.05,20.295,155.87,2.665,20.295,6.15
882,37.65,10.15,17.875,48.945,13.195,17.875,5.65
883,34.2,22.25,19.58,44.46000000000001,28.925,19.58,6.8
884,106.75,21.5,18.59,138.775,27.95,18.59,10.85
885,96.6,9.2,36.13500000000001,125.58,11.96,36.13500000000001,7.6
886,38.15,13.75,8.8,49.595,17.875,8.8,6.0
887,55.35,20.3,34.760000000000005,71.955,26.39,34.760000000000005,8.0
888,44.15,12.75,40.37000000000001,57.395,16.575,40.37000000000001,6.45
889,54.9,23.9,28.270000000000003,71.37,31.07,28.270000000000003,8.35
890,67.15,2.45,5.115000000000001,87.29500000000002,3.1850000000000005,5.115000000000001,5.6
891,14.3,0.75,18.15,18.59,0.975,18.15,3.65
892,108.85,16.75,32.45,141.505,21.775,32.45,9.7
893,125.45,18.25,39.765,163.085,23.725,39.765,11.1
894,53.7,7.0,5.995000000000001,69.81,9.1,5.995000000000001,5.75
895,81.65,15.8,29.095,106.145,20.540000000000006,29.095,8.45
896,98.8,1.75,3.245000000000001,128.44,2.275,3.245000000000001,5.85
